Date	Total daily doses given	First doses given	Follow-up doses given	Basic doses given total
02/17	125	125	0	125
02/18	486	486	0	486
02/19	4428	4428	0	4,428
02/22	6895	6895	0	6,895
02/24	5954	5954	0	5,954
02/25	4008	4008	0	4,008
02/26	6634	6634	0	6,634
03/01	3255	3255	0	3,255
03/02	2987	2987	0	2,987
03/03	2531	2531	0	2,531
03/04	1871	1871	0	1,871
03/05	7295	7295	0	7,295
03/08	24327	24327	0	24,327
03/09	36762	36762	0	36,762
03/10	41392	41357	35	41,392
03/11	32234	31826	408	32,234
03/12	49358	46453	2905	49,358
03/15	59733	55204	4529	59,733
03/16	68916	67446	1470	68,916
03/17	78294	73352	4942	78,294
03/18	71217	67217	4000	71,217
03/19	70133	63041	7092	70,133
03/22	73863	70115	3748	73,863
03/23	46428	43801	2627	46,428
03/24	42054	38731	3323	42,054
03/25	33942	31571	2371	33,942
03/26	47747	43993	3754	47,747
03/29	67793	44039	23754	67,793
03/30	59069	27242	31827	59,069
03/31	53008	24213	28795	53,008
04/01	47373	16156	31217	47,373
04/02	46586	20026	26560	46,586
04/05	100186	43297	56889	100,186
04/06	91682	39420	52262	91,682
04/07	104542	40371	64171	104,542
04/08	94498	29956	64542	94,498
04/09	104911	35313	69598	104,911
04/12	99892	29806	70086	99,892
04/13	56633	16543	40090	56,633
04/14	53783	12356	41427	53,783
04/15	56167	20184	35983	56,167
04/16	72645	32654	39991	72,645
04/17	3562	3562	0	3,562
04/18	5638	5638	0	5,638
04/19	129892	75585	54307	129,892
04/20	143953	116156	27797	143,953
04/21	173341	146645	26696	173,341
04/22	169398	147543	21855	169,398
04/23	191742	162059	29683	191,742
04/24	13263	13263	0	13,263
04/25	13509	13509	0	13,509
04/26	284806	243155	41651	284,806
04/27	232003	200898	31105	232,003
04/28	266614	222346	44268	266,614
04/29	11164	11164	0	11,164
04/30	295552	248312	47240	295,552
05/01	17985	17985	0	17,985
05/02	19136	19136	0	19,136
05/03	5943	5226	717	5,943
05/04	6695	6189	506	6,695
05/05	8135	7527	608	8,135
05/06	363731	297199	66532	363,731
05/07	169015	122735	46280	169,015
05/08	46482	43170	3312	46,482
05/09	65124	59486	5638	65,124
05/10	300852	224166	76686	300,852
05/11	269413	177809	91604	269,413
05/12	309802	195649	114153	309,802
05/13	344120	204257	139863	344,120
05/14	342246	188597	153649	342,246
05/15	113209	103357	9852	113,209
05/16	162817	152125	10692	162,817
05/17	515506	284250	231256	515,506
05/18	447335	270996	176339	447,335
05/19	496582	297297	199285	496,582
05/20	401082	284016	117066	401,082
05/21	447107	283145	163962	447,107
05/22	187636	173626	14010	187,636
05/23	197089	184203	12886	197,089
05/24	621181	422303	198878	621,181
05/25	447550	390268	57282	447,550
05/26	423253	369365	53888	423,253
